Id,Label,timeset,act_type,act_nat,colour,componentnumber,indegree,outdegree,Degree,weighted indegree,weighted outdegree,Weighted Degree,Eccentricity,closnesscentrality,harmonicclosnesscentrality,betweenesscentrality,Authority,Hub,modularity_class,pageranks,strongcompnum,clustering,eigencentrality
Piu Europa,Piu Europa,,political parties,ITALY,"#B85D6F",0,0,4,4,0,4,4,9,0.26393,0.293467,0,0,0.028543,3,0.000264,213,0.25,0
Movimento 5 Stelle,Movimento 5 Stelle,,political parties,ITALY,"#B85D6F",0,12,17,29,18,24,42,9,0.316254,0.377043,6283.639984,0.032746,0.147477,27,0.002248,200,0.122507,0.11325
European Parliament,European Parliament,,legislative,EUROPEAN UNION,"#5C9A5C",0,32,12,44,49,17,66,9,0.285259,0.336061,15576.692956,0.151248,0.062701,27,0.006307,200,0.025,0.301165
Le Madamin,Le Madamin,,civil society organisations and groups,ITALY,"#B85D6F",0,0,1,1,0,1,1,10,0.206085,0.227379,0,0,0.043992,33,0.000264,214,0,0
Associazione Family Day,Associazione Family Day,,civil society organisations and groups,ITALY,"#B85D6F",0,1,1,2,1,1,2,10,0.211085,0.228805,1,0.003837,0.0032,3,0.000366,200,0.5,0.002574
Presidente dei Fratelli d'Italia,Presidente dei Fratelli d'Italia,,political parties,ITALY,"#B85D6F",0,1,4,5,2,6,8,10,0.24124,0.275347,1417.055556,0.004957,0.052367,3,0.000481,200,0.2,0.009923
Fondazione Il Faro,Fondazione Il Faro,,civil society organisations and groups,ITALY,"#B85D6F",0,0,1,1,0,1,1,10,0.240778,0.26562,0,0,0.002399,27,0.000264,215,0,0
Forza Italia,Forza Italia,,politicians,ITALY,"#B85D6F",0,4,14,18,6,26,32,8,0.336754,0.384398,564.898827,0.013258,0.119902,3,0.000575,218,0.209559,0.007085
French vox pop,French vox pop,,the general public,FRANCE,"#6A886D",0,0,1,1,0,3,3,9,0.25193,0.272325,0,0,0.009483,22,0.000264,219,0,0
Sciences Po University,Sciences Po University,,educational professionals and organisations,FRANCE,"#6A886D",0,0,1,1,0,1,1,9,0.25193,0.272325,0,0,0.009483,22,0.000264,220,0,0
Mercator Institute for China Studies,Mercator Institute for China Studies,,other scientific and research professionals and institutions,GERMANY,"#717F75",1,0,1,1,0,1,1,1,1,1,0,0,0,0,0.000264,222,0,0
European External Action Service,European External Action Service,,government/executive,EUROPEAN UNION,"#5C9A5C",0,2,12,14,2,15,17,9,0.271903,0.322418,964.639447,0.000749,0.107842,29,0.000628,223,0.064103,0.004412
European Commission,European Commission,,government/executive,EUROPEAN UNION,"#5C9A5C",0,88,35,123,110,62,172,8,0.333644,0.407545,92595.151014,0.39702,0.181585,29,0.019571,200,0.02568,1
Bundnis 90 - Die Grunen,Bundnis 90 - Die Grunen,,political parties,GERMANY,"#717F75",0,1,20,21,1,31,32,8,0.315208,0.372465,353.066667,0.000066,0.145805,71,0.000383,235,0.052632,0.001771
Electronic Frontier Foundation,Electronic Frontier Foundation,,other scientific and research professionals and institutions,UNITED STATES,"#EF7DB1",0,0,1,1,0,1,1,10,0.206085,0.227379,0,0,0.043992,33,0.000264,236,0,0
Süddeutsche Zeitung,Süddeutsche Zeitung,,media and journalists,GERMANY,"#717F75",0,0,29,29,0,51,51,8,0.372308,0.436046,0,0,0.209527,71,0.000264,241,0.059113,0
Hungarian Government,Hungarian Government,,government/executive,HUNGARY,"#7F6D85",0,27,10,37,31,16,47,9,0.321653,0.367985,18142.145231,0.115831,0.112183,88,0.00554,200,0.036932,0.336074
Klimenko Andrei,Klimenko Andrei,,the general public,UKRAINE,"#E07595",0,0,1,1,0,1,1,1,1,1,0,0,0.003192,33,0.000264,242,0,0
Sluha Narodu,Sluha Narodu,,political parties,UKRAINE,"#E07595",0,1,3,4,2,4,6,14,0.132605,0.147734,706,0.000003,0.003227,21,0.000392,247,0,0.002173
Permanent Court of Arbitration,Permanent Court of Arbitration,,judiciary,NA,"#FFA910",0,0,1,1,0,1,1,1,1,1,0,0,0.003192,33,0.000264,248,0,0
Illarionov Andrei,Illarionov Andrei,,economists and financial experts,RUSSIAN FEDERATION,"#E8D430",0,0,1,1,0,1,1,1,1,1,0,0,0.003192,33,0.000264,249,0,0
University of Cologne,University of Cologne,,educational professionals and organisations,GERMANY,"#717F75",0,0,1,1,0,1,1,9,0.226875,0.246538,0,0,0.002255,21,0.000264,250,0,0
Auswärtiges Amt,Auswärtiges Amt,,government/executive,GERMANY,"#717F75",0,0,7,7,0,7,7,9,0.267606,0.309492,0,0,0.054241,29,0.000264,253,0.047619,0
UK Labour Party,UK Labour Party,,legislative,UNITED KINGDOM,"#E879A3",0,2,4,6,2,10,12,9,0.24758,0.27945,1375.578321,0.016057,0.020149,47,0.000941,200,0.05,0.023349
European Research Group,European Research Group,,political parties,UNITED KINGDOM,"#E879A3",0,0,1,1,0,1,1,10,0.212175,0.228951,0,0,0.005298,47,0.000264,254,0,0
UK Conservative Party,UK Conservative Party,,political parties,UNITED KINGDOM,"#E879A3",0,5,5,10,5,10,15,10,0.238826,0.271722,1113.222619,0.02682,0.059038,47,0.00105,200,0.25,0.043853
President of the EU Commission,President of the EU Commission,,government/executive,EUROPEAN UNION,"#5C9A5C",0,17,30,47,23,55,78,9,0.334579,0.411866,32720.136017,0.103095,0.205753,27,0.004812,200,0.047065,0.216203
EU Council,EU Council,,government/executive,EUROPEAN UNION,"#5C9A5C",0,23,17,40,33,24,57,8,0.321364,0.383397,25195.413197,0.11825,0.104446,29,0.004681,200,0.041291,0.27345
UK Civil Service,UK Civil Service,,government/executive,UNITED KINGDOM,"#E879A3",0,0,1,1,0,1,1,10,0.212175,0.228951,0,0,0.005298,47,0.000264,255,0,0
Brexit negotiator,Brexit negotiator,,government/executive,EUROPEAN UNION,"#5C9A5C",0,2,4,6,3,5,8,9,0.264012,0.298631,456.649622,0.007944,0.050954,29,0.000927,200,0.133333,0.008509
Gazeta Wyborcza,Gazeta Wyborcza,,media and journalists,POLAND,"#FFE428",0,2,28,30,2,41,43,8,0.355511,0.419603,16223.596662,0.010284,0.152296,51,0.002158,200,0.051724,0.026896
Corriere della Sera Foundation,Corriere della Sera Foundation,,media and journalists,ITALY,"#B85D6F",0,1,1,2,1,1,2,10,0.233987,0.258481,0,0.007668,0.001792,3,0.000308,200,0,0.009597
Monti Mario,Monti Mario,,former states(wo)men,ITALY,"#B85D6F",0,1,2,3,1,2,3,9,0.254623,0.285998,0,0.010424,0.015647,3,0.000384,200,1,0.027534
University student,University student,,"students, pupils, and their parents",NA,"#FFA910",0,0,1,1,0,1,1,9,0.250698,0.277584,0,0,0.029089,29,0.000264,256,0,0
Maltese Government,Maltese Government,,government/executive,MALTA,"#FF8502",0,0,2,2,0,2,2,10,0.241426,0.269845,0,0,0.008868,51,0.000264,257,0,0
Lawyer,Lawyer,,other professional organisations and groups,NA,"#FFA910",2,0,1,1,0,1,1,1,1,1,0,0,0,1,0.000264,259,0,0
European Central Bank,European Central Bank,,central banks,EUROPEAN UNION,"#5C9A5C",0,29,6,35,38,8,46,11,0.217365,0.246851,7346.546922,0.069696,0.025792,22,0.004715,200,0.043672,0.166384
Directorate-General for Economic and Financial Affairs,Directorate-General for Economic and Financial Affairs,,government/executive,EUROPEAN UNION,"#5C9A5C",0,0,1,1,0,1,1,1,1,1,0,0,0.008192,29,0.000264,260,0,0
Pimco,Pimco,,employers organisations and firms,UNITED STATES,"#EF7DB1",0,0,3,3,0,3,3,12,0.179462,0.198472,0,0,0.013371,22,0.000264,262,0.166667,0
Presidente del Consiglio,Presidente del Consiglio,,government/executive,ITALY,"#B85D6F",0,17,27,44,35,37,72,8,0.333023,0.403475,24922.693924,0.10692,0.162338,3,0.002787,200,0.065452,0.267653
Ministero Finanza Italia,Ministero Finanza Italia,,government/executive,ITALY,"#B85D6F",0,0,3,3,0,3,3,9,0.25389,0.283945,0,0,0.031285,3,0.000264,263,0,0
OECD,OECD,,government/executive,NA,"#FFA910",0,3,3,6,4,3,7,9,0.256631,0.284724,64.288095,0.025497,0.061448,3,0.000873,200,0.15,0.103758
Kings College London University,Kings College London University,,educational professionals and organisations,UNITED KINGDOM,"#E879A3",0,0,1,1,0,1,1,1,1,1,0,0,0.005973,29,0.000264,264,0,0
NRC Handelsblad,NRC Handelsblad,,media and journalists,NETHERLANDS,"#FFB415",0,0,22,22,0,28,28,7,0.325022,0.391657,0,0,0.161958,47,0.000264,271,0.064935,0
Stevens Barry,Stevens Barry,,media and journalists,NETHERLANDS,"#FFB415",0,0,1,1,0,1,1,10,0.212175,0.228951,0,0,0.005298,47,0.000264,272,0,0
Harvard University,Harvard University,,educational professionals and organisations,UNITED STATES,"#EF7DB1",0,0,2,2,0,2,2,8,0.28357,0.312658,0,0,0.026868,88,0.000264,273,0,0
Burns Nicholas,Burns Nicholas,,former states(wo)men,UNITED STATES,"#EF7DB1",0,0,1,1,0,2,2,1,1,1,0,0,0.001378,64,0.000264,274,0,0
Bundesminister des Auswärtigen,Bundesminister des Auswärtigen,,government/executive,GERMANY,"#717F75",0,0,14,14,0,21,21,8,0.296569,0.344612,0,0,0.07332,33,0.000264,279,0.043956,0
German Government,German Government,,government/executive,GERMANY,"#717F75",0,54,41,95,84,53,137,7,0.350294,0.432455,71579.007398,0.250871,0.166843,71,0.010301,200,0.028317,0.518805
Bundesverteidigungsministerium,Bundesverteidigungsministerium,,government/executive,GERMANY,"#717F75",0,16,14,30,22,23,45,9,0.288477,0.339939,7084.122316,0.090877,0.12912,27,0.003094,200,0.071429,0.195336
OSCE,OSCE,,government/executive,EUROPEAN UNION,"#5C9A5C",0,0,1,1,0,2,2,16,0.105705,0.116316,0,0,0.000017,21,0.000264,280,0,0
Ukrainian President,Ukrainian President,,government/executive,UKRAINE,"#E07595",0,2,4,6,4,6,10,15,0.117876,0.134371,373.5,0.000238,0.000044,21,0.0006,247,0,0.00314
Okologisch-Demokratische Partei,Okologisch-Demokratische Partei,,political parties,GERMANY,"#717F75",0,0,1,1,0,1,1,10,0.206085,0.227379,0,0,0.043992,33,0.000264,281,0,0
Alliance Against Displacement and Rents Madness,Alliance Against Displacement and Rents Madness,,solidarity and human rights organisations,GERMANY,"#717F75",3,0,1,1,0,1,1,1,1,1,0,0,0,50,0.000264,283,0,0
AKP,AKP,,political parties,TURKEY,"#D16D79",0,0,1,1,0,1,1,1,1,1,0,0,0.000287,33,0.000264,284,0,0
President of Turkey,President of Turkey,,government/executive,TURKEY,"#D16D79",0,1,6,7,1,6,7,9,0.24812,0.281629,54.143651,0.00465,0.053208,33,0.000296,207,0.119048,0.00131
Kukiz,Kukiz,,political parties,POLAND,"#FFE428",0,0,1,1,0,1,1,10,0.24339,0.266519,0,0,0.003925,51,0.000264,285,0,0
Mayor,Mayor,,government/executive,NA,"#FFA910",0,0,1,1,0,1,1,9,0.252441,0.271574,0,0,0.000971,3,0.000264,286,0,0
Judge,Judge,,judiciary,NA,"#FFA910",4,0,1,1,0,1,1,1,1,1,0,0,0,2,0.000264,288,0,0
Torrini Cinzia,Torrini Cinzia,,media and journalists,ITALY,"#B85D6F",0,0,1,1,0,1,1,10,0.206085,0.227379,0,0,0.043992,33,0.000264,289,0,0
Fratelli d'Italia,Fratelli d'Italia,,political parties,ITALY,"#B85D6F",0,7,5,12,8,10,18,9,0.267164,0.30451,3863.409343,0.043673,0.067659,3,0.001277,200,0.145455,0.068994
Environmental activist,Environmental activist,,environmental organisations and groups,NA,"#FFA910",0,0,1,1,0,1,1,10,0.222429,0.244579,0,0,0.011082,27,0.000264,290,0,0
Ministro delle infrastrutture,Ministro delle infrastrutture,,government/executive,ITALY,"#B85D6F",0,1,2,3,1,3,4,9,0.267511,0.297998,359,0,0.044196,3,0.000489,291,0.333333,0.00131
Salvini Matteo,Salvini Matteo,,politicians,ITALY,"#B85D6F",5,0,1,1,0,1,1,1,1,1,0,0,0,4,0.000264,293,0,0
Libyan Government,Libyan Government,,government/executive,LIBYA,"#DE6F33",0,3,2,5,4,2,6,9,0.253541,0.277462,1113.842978,0.018304,0.015996,71,0.001159,200,0.1,0.083432
VisNed,VisNed,,farmers and agricultural organisations,NETHERLANDS,"#FFB415",0,0,2,2,0,2,2,10,0.228808,0.258182,0,0,0.055074,33,0.000264,294,0,0
Government of Czech Republic,Government of Czech Republic,,government/executive,CZECH REPUBLIC,"#47A265",0,1,1,2,1,1,2,10,0.212211,0.231858,0,0.004104,0.003883,83,0.000964,200,0,0.036669
European Court of Justice,European Court of Justice,,judiciary,EUROPEAN UNION,"#5C9A5C",0,25,14,39,30,14,44,9,0.269173,0.315777,23481.688602,0.052997,0.056008,83,0.011517,200,0.010084,0.287852
Clingendael Institute,Clingendael Institute,,other scientific and research professionals and institutions,NETHERLANDS,"#FFB415",0,0,2,2,0,3,3,12,0.174696,0.190641,0,0,0.012438,52,0.000264,295,0,0
Dupont-Aignan Nicholas,Dupont-Aignan Nicholas,,politicians,FRANCE,"#6A886D",6,0,1,1,0,1,1,1,1,1,0,0,0,5,0.000264,297,0,0
VNO-NCW,VNO-NCW,,employers organisations and firms,NETHERLANDS,"#FFB415",0,0,1,1,0,1,1,10,0.206085,0.227379,0,0,0.043992,33,0.000264,298,0,0
Federatie Nederlandse Vakbeweging,Federatie Nederlandse Vakbeweging,,unions and employees,NETHERLANDS,"#FFB415",0,0,1,1,0,1,1,10,0.206085,0.227379,0,0,0.043992,33,0.000264,299,0,0
De Sociaal-Economische Raad,De Sociaal-Economische Raad,,other state executive agencies,NETHERLANDS,"#FFB415",0,0,4,4,0,4,4,8,0.213777,0.241336,0,0,0.048471,70,0.000264,301,0,0
Dutch vox pop,Dutch vox pop,,the general public,NETHERLANDS,"#FFB415",0,0,18,18,0,31,31,6,0.33243,0.382926,0,0,0.150831,70,0.000264,309,0.101307,0
Fisherman,Fisherman,,the general public,NA,"#FFA910",0,0,1,1,0,2,2,10,0.206085,0.227379,0,0,0.043992,33,0.000264,310,0,0
Christlich Soziale Union,Christlich Soziale Union,,political parties,GERMANY,"#717F75",0,3,7,10,3,7,10,9,0.274962,0.312751,1559.540476,0.030517,0.049421,71,0.000525,200,0.111111,0.070825
Progressive Alliance of Socialists and Democrats,Progressive Alliance of Socialists and Democrats,,political parties,EUROPEAN UNION,"#5C9A5C",0,1,3,4,5,4,9,10,0.226726,0.252834,860.984635,0.00946,0.007847,27,0.000452,200,0,0.025388
European Commissioner for Justice,European Commissioner for Justice,,government/executive,EUROPEAN UNION,"#5C9A5C",0,2,2,4,2,2,4,2,0.75,0.833333,9.5,0.002811,0.001349,98,0.000799,147,0,0.01689
Committee on Budgetary Control,Committee on Budgetary Control,,other state executive agencies,EUROPEAN UNION,"#5C9A5C",0,1,1,2,1,2,3,9,0.250698,0.277584,359,0,0.029089,29,0.000489,311,0,0.00131
Partidul Conservator,Partidul Conservator,,political parties,ROMANIA,"#F9F332",0,0,1,1,0,1,1,10,0.200893,0.215219,0,0,0,29,0.000264,312,0,0
Bundestagspräsident,Bundestagspräsident,,legislative,GERMANY,"#717F75",0,0,3,3,0,3,3,1,1,1,0,0,0.011002,3,0.000264,315,0,0
Prezydent Rzeczypospolitej,Prezydent Rzeczypospolitej,,government/executive,POLAND,"#FFE428",0,21,9,30,22,13,35,9,0.258111,0.294115,9800.844488,0.051788,0.059511,51,0.006144,200,0.022487,0.091374
Center for European Policy Analysis,Center for European Policy Analysis,,other scientific and research professionals and institutions,UNITED STATES,"#EF7DB1",0,0,1,1,0,1,1,1,1,1,0,0,0.005973,29,0.000264,316,0,0
Markiel Krzysztof,Markiel Krzysztof,,politicians,POLAND,"#FFE428",0,1,1,2,1,1,2,10,0.20634,0.227615,0,0.01093,0.043992,51,0.000319,200,0.5,0.009019
Polish vox pop,Polish vox pop,,the general public,POLAND,"#FFE428",0,0,2,2,0,6,6,10,0.234334,0.258208,0,0,0.052753,51,0.000264,317,0,0
Fakt,Fakt,,media and journalists,POLAND,"#FFE428",0,0,3,3,0,4,4,10,0.23541,0.261922,0,0,0.056028,33,0.000264,318,0,0
Staatskundig Gereformeerde Partij,Staatskundig Gereformeerde Partij,,political parties,NETHERLANDS,"#FFB415",0,3,1,4,3,1,4,9,0.207898,0.224327,2100,0.002141,0,70,0.001165,200,0,0.018171
Dutch PM,Dutch PM,,government/executive,NETHERLANDS,"#FFB415",0,13,9,22,16,9,25,8,0.271624,0.314336,24952.009812,0.057771,0.028901,70,0.004786,200,0.02924,0.104487
Dutch Government ministers,Dutch Government ministers,,government/executive,NETHERLANDS,"#FFB415",0,0,1,1,0,1,1,10,0.172513,0.183009,0,0,0.000157,70,0.000264,319,0,0
Former Dutch politicians,Former Dutch politicians,,former states(wo)men,NETHERLANDS,"#FFB415",0,0,1,1,0,1,1,9,0.214073,0.23351,0,0,0.004233,70,0.000264,320,0,0
Dutch political parties,Dutch political parties,,political parties,NETHERLANDS,"#FFB415",0,0,1,1,0,1,1,10,0.172513,0.183009,0,0,0.000157,70,0.000264,321,0,0
Academic,Academic,,educational professionals and organisations,NA,"#FFA910",0,0,1,1,0,1,1,10,0.202026,0.217769,0,0,0.000881,22,0.000264,322,0,0
University of Amsterdam,University of Amsterdam,,educational professionals and organisations,NETHERLANDS,"#FFB415",0,0,6,6,0,6,6,10,0.214116,0.245338,0,0,0.051072,52,0.000264,325,0.033333,0
KPMG,KPMG,,employers organisations and firms,NETHERLANDS,"#FFB415",0,1,1,2,1,1,2,1,1,1,4,0,0.000379,70,0.000572,326,0,0.002575
Government of the Netherlands,Government of the Netherlands,,government/executive,NETHERLANDS,"#FFB415",0,1,3,4,1,3,4,8,0.261887,0.294646,1762,0,0.019202,70,0.001255,200,0,0.004004
Erasmus University,Erasmus University,,educational professionals and organisations,NETHERLANDS,"#FFB415",7,0,1,1,0,1,1,1,1,1,0,0,0,6,0.000264,328,0,0
Hanseatic League,Hanseatic League,,government/executive,EUROPEAN UNION,"#5C9A5C",0,0,1,1,0,1,1,13,0.149334,0.160223,0,0,0.004621,22,0.000264,329,0,0
Ministerie van Financiën,Ministerie van Financiën,,government/executive,NETHERLANDS,"#FFB415",0,6,7,13,8,8,16,7,0.259232,0.289512,1082.13203,0.034392,0.029116,70,0.000646,200,0.038462,0.010571
UK vox pop,UK vox pop,,the general public,UNITED KINGDOM,"#E879A3",0,0,1,1,0,1,1,1,1,1,0,0,0.000568,47,0.000264,330,0,0
Bijkerk Rein,Bijkerk Rein,,media and journalists,NETHERLANDS,"#FFB415",0,0,1,1,0,1,1,14,0.13012,0.138769,0,0,0.006728,27,0.000264,331,0,0
Belgian Government,Belgian Government,,government/executive,BELGIUM,"#64638E",0,4,1,5,4,2,6,10,0.212211,0.231858,363.816667,0.030301,0.003883,83,0.001212,200,0,0.041059
GroenLinks,GroenLinks,,legislative,NETHERLANDS,"#FFB415",0,2,7,9,2,7,9,7,0.268567,0.310142,3555.204762,0.004904,0.087777,70,0.000673,200,0.125,0.007869
Group of MEP's,Group of MEP's,,legislative,EUROPEAN UNION,"#5C9A5C",0,0,3,3,0,4,4,9,0.254737,0.286188,0,0,0.030684,29,0.000264,336,0.166667,0
BDI - Bundesverband der deutschen Industrie,BDI - Bundesverband der deutschen Industrie,,economists and financial experts,GERMANY,"#717F75",0,0,2,2,0,2,2,8,0.270535,0.303359,0,0,0.022264,83,0.000264,337,0,0
Greenpeace,Greenpeace,,environmental organisations and groups,NA,"#FFA910",0,1,7,8,2,8,10,8,0.28753,0.330679,30.696825,0.00985,0.050176,33,0.000277,304,0.071429,0.001706
DGB,DGB,,unions and employees,GERMANY,"#717F75",0,0,5,5,0,5,5,10,0.229008,0.260844,0,0,0.067891,3,0.000264,339,0.05,0
Mayor of Freising,Mayor of Freising,,government/executive,GERMANY,"#717F75",8,0,1,1,0,1,1,1,1,1,0,0,0,7,0.000264,341,0,0
Alternative fur Deutschland,Alternative fur Deutschland,,political parties,GERMANY,"#717F75",0,1,2,3,1,3,4,8,0.265926,0.299907,0,0.004877,0.062373,33,0.00032,342,0.333333,0.00131
Government of Burkina Faso,Government of Burkina Faso,,government/executive,BURKINA FASO,"#3B87A2",0,1,1,2,1,1,2,1,1,1,0,0.012224,0.010884,3,0.000478,168,0.5,0.067745
Austrian PM,Austrian PM,,government/executive,AUSTRIA,"#944863",9,0,1,1,0,1,1,1,1,1,0,0,0,8,0.000264,344,0,0
Freiheitliche Partei Osterreichs,Freiheitliche Partei Osterreichs,,political parties,AUSTRIA,"#944863",9,0,1,1,0,1,1,1,1,1,0,0,0,8,0.000264,345,0,0
Casa di Betania,Casa di Betania,,churches and religious organisations and groups,ITALY,"#B85D6F",0,0,1,1,0,1,1,10,0.206085,0.227379,0,0,0.043992,33,0.000264,346,0,0
President of the European Parliament,President of the European Parliament,,legislative,EUROPEAN UNION,"#5C9A5C",0,1,6,7,1,7,8,10,0.259179,0.298374,64.531025,0.010683,0.040133,29,0.00028,226,0.047619,0.001771
Mayor of Rosignano,Mayor of Rosignano,,government/executive,ITALY,"#B85D6F",0,0,1,1,0,1,1,10,0.222429,0.244579,0,0,0.011082,27,0.000264,347,0,0
Corte Suprema di Cassazione,Corte Suprema di Cassazione,,judiciary,ITALY,"#B85D6F",10,0,1,1,0,1,1,1,1,1,0,0,0,9,0.000264,349,0,0
Corriere della Sera,Corriere della Sera,,media and journalists,ITALY,"#B85D6F",0,0,20,20,0,29,29,8,0.334529,0.397884,0,0,0.155702,3,0.000264,356,0.110526,0
Confcommercio,Confcommercio,,employers organisations and firms,ITALY,"#B85D6F",0,0,2,2,0,2,2,10,0.232815,0.261518,0,0,0.045847,3,0.000264,357,0,0
European People's Party,European People's Party,,legislative,EUROPEAN UNION,"#5C9A5C",0,5,18,23,9,19,28,8,0.360887,0.408988,19438.175353,0.036641,0.173347,3,0.001567,200,0.187135,0.169197
Presidente della repubblica,Presidente della repubblica,,government/executive,ITALY,"#B85D6F",0,3,4,7,4,6,10,9,0.264989,0.29889,930.496006,0.022439,0.024478,22,0.000696,200,0.095238,0.061385
TVN Warszawa,TVN Warszawa,,media and journalists,POLAND,"#FFE428",11,0,1,1,0,1,1,1,1,1,0,0,0,10,0.000264,359,0,0
The City is Ours,The City is Ours,,other civil society organisations and groups,POLAND,"#FFE428",0,0,1,1,0,1,1,10,0.255698,0.278131,0,0,0.003026,51,0.000264,360,0,0
NDA,NDA,,other civil society organisations and groups,POLAND,"#FFE428",0,0,1,1,0,1,1,10,0.206085,0.227379,0,0,0.043992,33,0.000264,361,0,0
1921 Committee,1922 Committee,,political parties,UNITED KINGDOM,"#E879A3",12,0,0,0,0,0,0,0,0,0,0,0,0,11,0.000264,362,0,0
Avaaz,Avaaz,,other civil society organisations and groups,NA,"#FFA910",0,0,1,1,0,1,1,11,0.182883,0.19701,0,0,0.001198,27,0.000264,363,0,0
US President,US President,,government/executive,UNITED STATES,"#EF7DB1",0,19,13,32,23,18,41,8,0.292484,0.340692,13314.088227,0.07592,0.090049,89,0.003074,200,0.026882,0.084779
Eurogroup,Eurogroup,,government/executive,EUROPEAN UNION,"#5C9A5C",0,5,4,9,6,5,11,9,0.25535,0.281512,1611.006233,0.012751,0.026839,29,0.001079,200,0.041667,0.055526
Ministry of Finance of Austria,Ministry of Finance of Austria,,government/executive,AUSTRIA,"#944863",0,2,2,4,2,2,4,10,0.216707,0.238477,25.289286,0.004468,0.010048,3,0.000423,200,0,0.008426
Yuste Foundation,Yuste Foundation,,other scientific and research professionals and institutions,EUROPEAN UNION,"#5C9A5C",13,0,1,1,0,1,1,1,1,1,0,0,0,12,0.000264,365,0,0
Forum Nazionale del Terzo Settore,Forum Nazionale del Terzo Settore,,solidarity and human rights organisations,ITALY,"#B85D6F",0,0,1,1,0,1,1,1,1,1,0,0,0.010884,3,0.000264,366,0,0
Ministero delle Finanze,Ministero delle Finanze,,government/executive,ITALY,"#B85D6F",0,4,8,12,4,8,12,9,0.276022,0.320728,4320.935219,0.025325,0.029698,3,0.000788,200,0.063636,0.04736
Banca d'Italia,Banca d'Italia,,central banks,ITALY,"#B85D6F",0,2,3,5,2,5,7,9,0.256447,0.284259,444.966304,0.014929,0.067291,3,0.000882,200,0.166667,0.091535
Confcooperative,Confcooperative,,employers organisations and firms,ITALY,"#B85D6F",0,0,1,1,0,1,1,1,1,1,0,0,0.003827,27,0.000264,367,0,0
President of Piemonte,President of Piemonte,,government/executive,ITALY,"#B85D6F",0,0,1,1,0,1,1,9,0.252284,0.273996,0,0,0.015107,3,0.000264,368,0,0
Nessun Dorma,Nessun Dorma,,other civil society organisations and groups,ITALY,"#B85D6F",0,0,1,1,0,1,1,10,0.236495,0.261952,0,0,0.007813,3,0.000264,369,0,0
Sentinelli,Sentinelli,,other civil society organisations and groups,ITALY,"#B85D6F",0,1,1,2,1,1,2,10,0.236304,0.261753,0,0.007668,0.007813,3,0.000308,200,1,0.009597
