Id,Label,timeset,act_type,act_nat,colour,componentnumber,indegree,outdegree,Degree,weighted indegree,weighted outdegree,Weighted Degree,Eccentricity,closnesscentrality,harmonicclosnesscentrality,betweenesscentrality,Authority,Hub,modularity_class,pageranks,strongcompnum,clustering,eigencentrality
Philippe Denis-Emmanuel,Philippe Denis-Emmanuel,,economists and financial experts,BELGIUM,"#64638E",1,0,1,1,0,1,1,1,1,1,0,0,0.008,12,0.000915,176,0,0
Hunt Jeremy,Hunt Jeremy,,former states(wo)men,UNITED KINGDOM,"#E879A3",1,0,1,1,0,1,1,1,1,1,0,0,0.002069,1,0.000915,177,0,0
Italian Government,Italian Government,,government/executive,ITALY,"#B85D6F",1,7,6,13,11,9,20,3,0.608696,0.702381,121.5,0.096112,0.073664,13,0.007265,116,0.015152,0.047655
Zentralrat der Juden,Zentralrat der Juden,,churches and religious organizations and groups,GERMANY,"#717F75",1,0,1,1,0,1,1,1,1,1,0,0,0.002258,15,0.000915,178,0,0
Zentralrats der Muslime,Zentralrats der Muslime,,churches and religious organizations and groups,GERMANY,"#717F75",7,0,1,1,0,1,1,1,1,1,0,0,0,14,0.000915,180,0,0
BDA,BDA,,unions and employees,GERMANY,"#717F75",1,0,1,1,0,1,1,1,1,1,0,0,0.002258,15,0.000915,181,0,0
Merten Hans-Lothar,Merten Hans-Lothar,,economists and financial experts,GERMANY,"#717F75",1,0,1,1,0,1,1,8,0.255708,0.316645,0,0,0.054999,1,0.000915,182,0,0
Banca d'Italia,Banca d'Italia,,central banks,ITALY,"#B85D6F",1,0,1,1,0,1,1,4,0.394737,0.438889,0,0,0.012876,13,0.000915,183,0,0
Germany,Germany,,whole polities,GERMANY,"#717F75",1,7,1,8,7,1,8,2,0.666667,0.75,132.166667,0.06894,0.00531,15,0.006108,4,0.017857,0.078258
Airbus,Airbus,,employers organisations and firms,FRANCE,"#6A886D",1,0,3,3,0,3,3,2,0.8,0.875,0,0,0.034765,15,0.000915,184,0.166667,0
ZEW,ZEW,,economists and financial experts,GERMANY,"#717F75",1,0,1,1,0,1,1,16,0.107486,0.161676,0,0,0.006697,4,0.000915,185,0,0
Group of the Greens - European Free Alliance,Group of the Greens - European Free Alliance,,political parties,EUROPEAN UNION,"#5C9A5C",1,0,3,3,0,3,3,8,0.271429,0.35378,0,0,0.067448,4,0.000915,186,0,0
European Central Bank,European Central Bank,,central banks,EUROPEAN UNION,"#5C9A5C",1,11,3,14,20,5,25,15,0.107632,0.168925,519.5,0.144742,0,9,0.007381,46,0.102564,0.394028
Czech vox pop,Czech vox pop,,the general public,CZECH REPUBLIC,"#47A265",1,0,1,1,0,4,4,9,0.23431,0.273158,0,0,0.002147,24,0.000915,187,0,0
Czech PM,Czech PM,,government/executive,CZECH REPUBLIC,"#47A265",1,4,3,7,7,4,11,8,0.300546,0.373831,1296.366667,0.016028,0.073924,24,0.004482,46,0.033333,0.334836
"Člověk v tísni",Člověk v tísni,,other civil society organisations and groups,CZECH REPUBLIC,"#47A265",1,0,1,1,0,1,1,9,0.23431,0.273158,0,0,0.002147,24,0.000915,188,0,0
Verdi,Verdi,,politicians,ITALY,"#B85D6F",1,0,1,1,0,1,1,1,1,1,0,0,0.012994,24,0.000915,189,0,0
European Union,European Union,,government/executive,EUROPEAN UNION,"#5C9A5C",1,31,4,35,42,6,48,1,1,1,705,0.495314,0.005756,13,0.027474,8,0.011586,0.541185
Fernández Alberto,Fernández Alberto,,politicians,ARGENTINA,"#C42C38",1,0,1,1,0,1,1,1,1,1,0,0,0.005446,13,0.000915,190,0,0
Sri Lanka Government,Sri Lanka Government,,government/executive,SRI LANKA,"#A75828",1,1,1,2,1,1,2,2,0.571429,0.625,0,0.000771,0.066359,13,0.006754,8,0,0.221899
Irish PM,Irish PM,,government/executive,IRELAND,"#A5548D",1,0,1,1,0,1,1,9,0.274827,0.31615,0,0,0.042426,5,0.000915,191,0,0
Latvian Government,Latvian Government,,government/executive,LATVIA,"#D46B42",1,0,1,1,0,1,1,9,0.274827,0.31615,0,0,0.042426,5,0.000915,192,0,0
Visegrad Group,Visegrad Group,,government/executive,EUROPEAN UNION,"#5C9A5C",1,0,1,1,0,1,1,8,0.255708,0.316645,0,0,0.054999,1,0.000915,193,0,0
European People's Party,European People's Party,,legislative,EUROPEAN UNION,"#5C9A5C",1,2,5,7,3,5,8,8,0.292079,0.344925,1125.583333,0.029853,0.098804,3,0.003357,86,0.033333,0.20376
Bild,Bild,,media and journalists,GERMANY,"#717F75",1,0,8,8,0,10,10,8,0.340845,0.408904,0,0,0.180101,5,0.000915,196,0.071429,0
Patronaggio Luigi,Patronaggio Luigi,,judiciary,ITALY,"#B85D6F",1,0,1,1,0,1,1,5,0.294118,0.341111,0,0,0.001397,13,0.000915,197,0,0
De Falco Gregorio,De Falco Gregorio,,politicians,ITALY,"#B85D6F",1,0,1,1,0,1,1,5,0.294118,0.341111,0,0,0.001397,13,0.000915,198,0,0
Bundespräsident,Bundespräsident,,government/executive,GERMANY,"#717F75",1,0,1,1,0,2,2,4,0.394737,0.438889,0,0,0.012876,13,0.000915,199,0,0
Bundesministerium für wirtschaftliche Zusammenarbeit und Entwicklung,Bundesministerium für wirtschaftliche Zusammenarbeit und Entwicklung,,government/executive,GERMANY,"#717F75",8,0,1,1,0,1,1,1,1,1,0,0,0,16,0.000915,201,0,0
Viminale- Ministero Interno,Viminale- Ministero Interno,,government/executive,ITALY,"#B85D6F",1,0,1,1,0,1,1,3,0.5,0.611111,0,0,0.009236,15,0.000915,202,0,0
Die Zeit,Die Zeit,,media and journalists,GERMANY,"#717F75",1,0,1,1,0,1,1,5,0.294118,0.341111,0,0,0.001397,13,0.000915,203,0,0
Bundesministerium des Innern,Bundesministerium des Innern,,government/executive,GERMANY,"#717F75",1,1,5,6,1,6,7,15,0.123711,0.245402,7.666667,0.039152,0.11807,13,0.000982,93,0.033333,0.007715
Bundesministerium für Verkehr,Bundesministerium für Verkehr,,government/executive,GERMANY,"#717F75",1,1,2,3,1,2,3,9,0.254826,0.298677,1,0.039152,0,5,0.000982,101,0,0.007715
Ministro delle infrastrutture,Ministro delle infrastrutture,,government/executive,ITALY,"#B85D6F",1,0,1,1,0,1,1,8,0.255708,0.316645,0,0,0.054999,1,0.000915,204,0,0
President of Moldova,President of Moldova,,government/executive,MOLDOVA,"#FF9D0C",1,0,1,1,0,1,1,2,0.555556,0.6,0,0,0.066359,13,0.000915,205,0,0
New Times,New Times,,media and journalists,RUSSIAN FEDERATION,"#E8D430",9,0,1,1,0,1,1,2,0.666667,0.75,0,0,0,19,0.000915,208,0,0
Russian Government,Russian Government,,government/executive,RUSSIAN FEDERATION,"#E8D430",9,0,1,1,0,1,1,2,0.666667,0.75,0,0,0,19,0.000915,209,0,0
Bayerischer Ministerpräsident,Bayerischer Ministerpräsident,,government/executive,GERMANY,"#717F75",1,0,1,1,0,1,1,2,0.555556,0.6,0,0,0.066359,13,0.000915,210,0,0
Schröder Richard,Schröder Richard,,churches and religious organizations and groups,GERMANY,"#717F75",1,0,1,1,0,1,1,1,1,1,0,0,0,34,0.000915,211,0,0
SeaWatch,SeaWatch,,solidarity and human rights organisations,GERMANY,"#717F75",1,4,1,5,5,3,8,4,0.388889,0.434524,42,0.010431,0.012876,13,0.004278,116,0,0.041664
EU High Representative,EU High Representative,,government/executive,EUROPEAN UNION,"#5C9A5C",1,0,3,3,0,4,4,3,0.461538,0.555556,0,0,0.007617,17,0.000915,213,0,0
Auswärtiges Amt,Auswärtiges Amt,,government/executive,GERMANY,"#717F75",1,0,3,3,0,3,3,3,0.583333,0.690476,0,0,0.023626,17,0.000915,215,0,0
Die Linke,Die Linke,,political parties,GERMANY,"#717F75",1,0,2,2,0,2,2,9,0.236581,0.273093,0,0,0.016119,5,0.000915,216,0.5,0
Freie Demokratische Partei,Freie Demokratische Partei,,political parties,GERMANY,"#717F75",1,0,2,2,0,3,3,9,0.284689,0.335758,0,0,0.054306,5,0.000915,217,0.5,0
EU Foreign Ministers,EU Foreign Ministers,,government/executive,EUROPEAN UNION,"#5C9A5C",1,4,3,7,5,3,8,2,0.8,0.875,49,0.014312,0.037721,17,0.003241,113,0,0.041664
United States,United States,,whole polities,UNITED STATES,"#EF7DB1",1,10,1,11,10,1,11,1,1,1,64.333333,0.150916,0.005032,22,0.007567,25,0.054545,0.583347
UK Foreign Secretary,UK Foreign Secretary,,government/executive,UNITED KINGDOM,"#E879A3",1,0,1,1,0,1,1,1,1,1,0,0,0.002295,17,0.000915,218,0,0
Bundesverfassungsgericht,Bundesverfassungsgericht,,judiciary,GERMANY,"#717F75",1,3,2,5,3,7,10,14,0.121475,0.204863,25.5,0.111209,0.030556,9,0.001397,95,0.1,0.014242
Horn Hans-Detlef,Horn Hans-Detlef,,other scientific and research professionals and institutions,GERMANY,"#717F75",1,0,1,1,0,1,1,14,0.12069,0.189982,0,0,0.011164,9,0.000915,219,0,0
Bundesministerium der Finanzen,Bundesministerium der Finanzen,,government/executive,GERMANY,"#717F75",1,2,3,5,2,3,5,8,0.24,0.286141,130.666667,0.002024,0.07575,18,0.001925,220,0,0.012255
First Minister of Scotland,First Minister of Scotland,,government/executive,UNITED KINGDOM,"#E879A3",1,0,1,1,0,1,1,9,0.240404,0.26595,0,0,0.015859,2,0.000915,221,0,0
First Minister for Wales,First Minister for Wales,,government/executive,UNITED KINGDOM,"#E879A3",1,0,1,1,0,1,1,9,0.240404,0.26595,0,0,0.015859,2,0.000915,222,0,0
British PM,British PM,,government/executive,UNITED KINGDOM,"#E879A3",1,15,7,22,23,7,30,8,0.31383,0.370632,3391.983333,0.118375,0.056578,2,0.012354,86,0.007895,0.299194
Sinn Fein,Sinn Fein,,political parties,IRELAND,"#A5548D",1,1,1,2,1,1,2,1,1,1,0.5,0.002164,0.001034,2,0.001304,223,0,0.003264
Kantonspolizei Zürich,Kantonspolizei Zürich,,police and internal security agencies,GERMANY,"#717F75",10,0,1,1,0,1,1,1,1,1,0,0,0,23,0.000915,225,0,0
Deutscher Sparkassen- und Giroverband,Deutscher Sparkassen- und Giroverband,,employers organisations and firms,GERMANY,"#717F75",1,0,1,1,0,1,1,4,0.4375,0.511905,0,0,0.001827,18,0.000915,226,0,0
EU Council,EU Council,,government/executive,EUROPEAN UNION,"#5C9A5C",1,9,4,13,12,6,18,8,0.321637,0.406255,1690,0.131351,0.073047,24,0.006267,46,0.057692,0.488025
Presidente del Consiglio,Presidente del Consiglio,,government/executive,ITALY,"#B85D6F",1,3,5,8,3,5,8,3,0.482759,0.607143,1073,0.044478,0.010002,24,0.003314,36,0.017857,0.23179
The Times,The Times,,media and journalists,UNITED KINGDOM,"#E879A3",1,0,3,3,0,3,3,9,0.257322,0.300119,0,0,0.016455,2,0.000915,228,0,0
House of Lords,House of Lords,,legislative,UNITED KINGDOM,"#E879A3",1,0,1,1,0,1,1,11,0.169034,0.19153,0,0,0.010303,4,0.000915,229,0,0
Miller Gina,Miller Gina,,other civil society organisations and groups,UNITED KINGDOM,"#E879A3",11,0,1,1,0,1,1,1,1,1,0,0,0,25,0.000915,231,0,0
Deutscher Kulturrat,Deutscher Kulturrat,,other civil society organisations and groups,GERMANY,"#717F75",1,0,1,1,0,1,1,8,0.255708,0.316645,0,0,0.054999,1,0.000915,232,0,0
Deutscher Musikrat,Deutscher Musikrat,,other civil society organisations and groups,GERMANY,"#717F75",1,0,1,1,0,1,1,9,0.221601,0.276257,0,0,0.01609,4,0.000915,233,0,0
Transparency International,Transparency International,,other civil society organisations and groups,NETHERLANDS,"#FFB415",12,0,1,1,0,1,1,1,1,1,0,0,0,26,0.000915,235,0,0
Centre for European Reform,Centre for European Reform,,other scientific and research professionals and institutions,UNITED KINGDOM,"#E879A3",1,0,2,2,0,2,2,9,0.20302,0.238984,0,0,0.002098,18,0.000915,236,0,0
Deutsches Institut für Wirtschaftsforschung,Deutsches Institut für Wirtschaftsforschung,,other scientific and research professionals and institutions,GERMANY,"#717F75",1,0,1,1,0,1,1,9,0.274827,0.31615,0,0,0.042426,5,0.000915,237,0,0
Deutsche Bundesbank,Deutsche Bundesbank,,central banks,GERMANY,"#717F75",1,0,1,1,0,2,2,4,0.4375,0.511905,0,0,0.001827,18,0.000915,238,0,0
De Nederlandsche Bank,De Nederlandsche Bank,,central banks,NETHERLANDS,"#FFB415",1,0,1,1,0,1,1,4,0.4375,0.511905,0,0,0.001827,18,0.000915,239,0,0
Oesterreichische Nationalbank ,Oesterreichische Nationalbank ,,government/executive,AUSTRIA,"#944863",1,0,1,1,0,1,1,4,0.4375,0.511905,0,0,0.001827,18,0.000915,240,0,0
Kiel Institute for the World Economy ,Kiel Institute for the World Economy ,,other scientific and research professionals and institutions,GERMANY,"#717F75",1,0,3,3,0,3,3,14,0.114458,0.207027,0,0,0.103303,15,0.000915,241,0,0
Bundesverband deutscher Banken,Bundesverband deutscher Banken,,employers organisations and firms,GERMANY,"#717F75",1,0,1,1,0,1,1,16,0.098765,0.14495,0,0,0.019392,9,0.000915,242,0,0
Commerzbank,Commerzbank,,employers organisations and firms,GERMANY,"#717F75",1,0,1,1,0,1,1,16,0.098765,0.14495,0,0,0.019392,9,0.000915,243,0,0
ECB President,ECB President,,central banks,EUROPEAN UNION,"#5C9A5C",1,6,4,10,7,5,12,3,0.666667,0.805556,253,0.013639,0.019167,18,0.004576,65,0.011111,0.079472
US President,US President,,government/executive,UNITED STATES,"#EF7DB1",1,6,6,12,6,6,12,9,0.314667,0.371856,1023.783333,0.119102,0.066623,2,0.003165,86,0.022727,0.079927
Court of Session,Court of Session,,judiciary,UNITED KINGDOM,"#E879A3",1,0,1,1,0,2,2,11,0.169034,0.19153,0,0,0.010303,4,0.000915,244,0,0
EU officials,EU officials,,government/executive,EUROPEAN UNION,"#5C9A5C",1,0,1,1,0,1,1,1,1,1,0,0,0.012152,1,0.000915,245,0,0
House of Commons,House of Commons,,legislative,UNITED KINGDOM,"#E879A3",1,4,2,6,6,3,9,9,0.244813,0.278091,1429.933333,0.052618,0.026162,4,0.00528,86,0.166667,0.260277
Speaker of the House of Commons,Speaker of the House of Commons,,Legislative,UNITED KINGDOM,"#E879A3",1,0,1,1,0,1,1,10,0.198003,0.217971,0,0,0.007049,4,0.000915,246,0,0
Obvodní státní zastupitelství pro Prahu,Obvodní státní zastupitelství pro Prahu,,judiciary,CZECH REPUBLIC,"#47A265",1,0,1,1,0,1,1,9,0.23431,0.273158,0,0,0.002147,24,0.000915,247,0,0
Committee on Legal Affairs,Committee on Legal Affairs,,legislative,EUROPEAN UNION,"#5C9A5C",1,0,1,1,0,1,1,1,1,1,0,0,0.00703,18,0.000915,248,0,0
European Anti-Fraud Office,European Anti-Fraud Office,,other state executive agencies,EUROPEAN UNION,"#5C9A5C",1,0,4,4,0,4,4,8,0.265766,0.351392,0,0,0.060116,3,0.000915,251,0,0
CDU official,CDU official,,politicians,GERMANY,"#717F75",1,0,1,1,0,1,1,1,1,1,0,0,0.001527,22,0.000915,252,0,0
Gesundheitsministerium,Gesundheitsministerium,,government/executive,GERMANY,"#717F75",1,0,3,3,0,3,3,1,1,1,0,0,0.001584,22,0.000915,255,0,0
WTO,WTO,,central banks,NA,"#FFA910",1,1,1,2,1,1,2,2,0.666667,0.75,0,0.00281,0.020219,22,0.001174,256,0.5,0.003264
US Government,US Government,,government/executive,UNITED STATES,"#EF7DB1",1,7,1,8,9,1,10,2,0.555556,0.6,27.5,0.041523,0.066359,17,0.003983,135,0.017857,0.022845
Adler,Adler,,employers organisations and firms,GERMANY,"#717F75",1,0,1,1,0,1,1,10,0.240891,0.26705,0,0,0.015956,2,0.000915,257,0,0
Wiha,Wiha,,employers organisations and firms,GERMANY,"#717F75",13,0,1,1,0,1,1,1,1,1,0,0,0,27,0.000915,259,0,0
US Defence Secretary,US Defence Secretary,,government/executive,UNITED STATES,"#EF7DB1",14,0,1,1,0,1,1,1,1,1,0,0,0,28,0.000915,261,0,0
Syrian Democratic Forces,Syrian Democratic Forces,,military,SYRIA,"#BB614F",1,0,1,1,0,1,1,3,0.4,0.472222,0,0,0.005563,17,0.000915,262,0,0
Turkey Ministry of Foreign Affairs,Turkey Ministry of Foreign Affairs,,government/executive,TURKEY,"#D16D79",1,0,1,1,0,1,1,1,1,1,0,0,0.006574,18,0.000915,263,0,0
Democratic Unionist Party,Democratic Unionist Party,,political parties,UNITED KINGDOM,"#E879A3",1,0,2,2,0,2,2,9,0.241935,0.272067,0,0,0.016149,2,0.000915,264,0,0
UK Labour Party,UK Labour Party,,legislative,UNITED KINGDOM,"#E879A3",1,0,2,2,0,4,4,9,0.28,0.312428,0,0,0.031816,2,0.000915,265,0,0
Retzlaff Andreas,Retzlaff Andreas,,farmers and agricultural organisations,GERMANY,"#717F75",1,0,1,1,0,1,1,2,0.555556,0.6,0,0,0.066359,13,0.000915,266,0,0
