Id,Label,timeset,mode,act_type,nat,colour,componentnumber,Degree,Weighted Degree,Eccentricity,closnesscentrality,harmonicclosnesscentrality,betweenesscentrality,Authority,Hub,modularity_class,pageranks,clustering,triangles,eigencentrality
Corriere della Sera Foundation,Corriere della Sera Foundation,,1,media and journalists,ITALY,"#B85D6F",0,1,1,6,0.310901,0.349404,0,0.006388,0.064264,23,0.000754,0,0,0.06437
Monti Mario,Monti Mario,,1,former states(wo)men,ITALY,"#B85D6F",0,1,3,6,0.245822,0.274866,0,0.000931,0.009362,25,0.00078,0,0,0.019656
University student,University student,,1,"students, pupils, and their parents",NA,"#FFA910",0,1,1,6,0.245822,0.274866,0,0.000931,0.009362,25,0.00078,0,0,0.019656
Maltese Government,Maltese Government,,1,government/executive,MALTA,"#FF8502",2,1,2,2,0.666667,0.75,0,0,0,0,0.001219,0,0,0.000883
Lawyer,Lawyer,,1,other professional organisations and groups,NA,"#FFA910",0,1,1,6,0.240534,0.256231,0,0.000485,0.004881,32,0.000727,0,0,0.009101
Archbishop,Archbishop,,1,churches and religious organisations and groups,NA,"#FFA910",0,1,1,6,0.240534,0.256231,0,0.000485,0.004881,32,0.000727,0,0,0.009101
Presidente del Consiglio,Presidente del Consiglio,,1,government/executive,ITALY,"#B85D6F",0,2,19,6,0.33756,0.381694,1111.820177,0.007318,0.073625,25,0.001297,0,0,0.084027
Kings College London University,Kings College London University,,1,educational professionals and organisations,UNITED KINGDOM,"#E879A3",0,1,1,6,0.310901,0.349404,0,0.006388,0.064264,23,0.000754,0,0,0.06437
NRC Handelsblad,NRC Handelsblad,,1,media and journalists,NETHERLANDS,"#FFB415",0,2,15,6,0.320528,0.362224,1358.071525,0.006694,0.067348,23,0.001291,0,0,0.071471
Stevens Barry,Stevens Barry,,1,media and journalists,NETHERLANDS,"#FFB415",0,1,1,8,0.207037,0.227389,0,0.000307,0.003084,36,0.000775,0,0,0.0071
Harvard University,Harvard University,,1,educational professionals and organisations,UNITED STATES,"#EF7DB1",0,1,1,6,0.310901,0.349404,0,0.006388,0.064264,23,0.000754,0,0,0.06437
NATO Secretary General,NATO Secretary General,,1,military,NA,"#FFA910",0,2,2,6,0.320528,0.362224,518.532017,0.006873,0.069145,32,0.001244,0,0,0.073471
Pulse of Europe,Pulse of Europe,,1,other civil society organisations and groups,EUROPEAN UNION,"#5C9A5C",0,1,1,6,0.310901,0.349404,0,0.006388,0.064264,23,0.000754,0,0,0.06437
Hungarian Government,Hungarian Government,,1,government/executive,HUNGARY,"#7F6D85",0,2,6,6,0.313692,0.353727,2200,0.006447,0.064859,28,0.001359,0,0,0.066459
President of the EU Commission,President of the EU Commission,,1,government/executive,EUROPEAN UNION,"#5C9A5C",0,4,31,4,0.380272,0.422481,5753.256917,0.0084,0.084512,23,0.002472,0,0,0.108267
Bundesminister des Auswärtigen,Bundesminister des Auswärtigen,,1,government/executive,GERMANY,"#717F75",0,3,8,6,0.329211,0.373256,1104.718403,0.007419,0.074641,23,0.00174,0,0,0.08254
Sluha Narodu,Sluha Narodu,,1,political parties,UKRAINE,"#E07595",0,1,1,8,0.194097,0.205863,0,0.00003,0.000298,26,0.000883,0,0,0.001922
Ukrainian Government,Ukrainian Government,,1,government/executive,UKRAINE,"#E07595",0,1,2,8,0.194097,0.205863,0,0.00003,0.000298,26,0.000883,0,0,0.001922
Okologisch-Demokratische Partei,Okologisch-Demokratische Partei,,1,political parties,GERMANY,"#717F75",0,2,2,6,0.250448,0.273852,129.282395,0.001031,0.010377,32,0.001223,0,0,0.01817
Die Linke,Die Linke,,1,political parties,GERMANY,"#717F75",0,2,2,6,0.319429,0.360883,456.903991,0.006934,0.06976,17,0.00125,0,0,0.073439
Russian Government,Russian Government,,1,government/executive,RUSSIAN FEDERATION,"#E8D430",0,1,1,8,0.205515,0.218952,0,0.000096,0.000968,22,0.000798,0,0,0.002747
Byrt Andrzej,Byrt Andrzej,,1,economists and financial experts,POLAND,"#FFE428",0,1,1,6,0.310901,0.349404,0,0.006388,0.064264,23,0.000754,0,0,0.06437
Mayor,Mayor,,1,government/executive,NA,"#FFA910",0,1,1,6,0.245822,0.274866,0,0.000931,0.009362,25,0.00078,0,0,0.019656
Halter Marek,Halter Marek,,1,media and journalists,FRANCE,"#6A886D",0,1,1,6,0.310901,0.349404,0,0.006388,0.064264,23,0.000754,0,0,0.06437
University of Bologna,University of Bologna,,1,educational professionals and organisations,ITALY,"#B85D6F",0,2,3,6,0.33756,0.381694,1111.820177,0.007318,0.073625,23,0.001297,0,0,0.084027
Boeri Tito,Boeri Tito,,1,economists and financial experts,ITALY,"#B85D6F",0,1,1,6,0.310901,0.349404,0,0.006388,0.064264,23,0.000754,0,0,0.06437
Environmental activist,Environmental activist,,1,environmental organisations and groups,NA,"#FFA910",0,1,1,6,0.240534,0.256231,0,0.000485,0.004881,32,0.000727,0,0,0.009101
Dutch PM,Dutch PM,,1,government/executive,NETHERLANDS,"#FFB415",0,3,5,6,0.324246,0.367442,3132.15429,0.00679,0.068316,36,0.001852,0,0,0.074218
VisNed,VisNed,,1,farmers and agricultural organisations,NETHERLANDS,"#FFB415",0,1,1,8,0.207037,0.227389,0,0.000307,0.003084,36,0.000775,0,0,0.0071
InnoEnergy,InnoEnergy,,1,employers organisations and firms,NETHERLANDS,"#FFB415",0,1,2,6,0.310901,0.349404,0,0.006388,0.064264,23,0.000754,0,0,0.06437
Clingendael Institute,Clingendael Institute,,1,other scientific and research professionals and institutions,NETHERLANDS,"#FFB415",0,2,2,6,0.320528,0.362224,1358.071525,0.006694,0.067348,36,0.001291,0,0,0.071471
Federatie Nederlandse Vakbeweging,Federatie Nederlandse Vakbeweging,,1,unions and employees,NETHERLANDS,"#FFB415",0,1,1,8,0.207037,0.227389,0,0.000307,0.003084,36,0.000775,0,0,0.0071
De Sociaal-Economische Raad,De Sociaal-Economische Raad,,1,other state executive agencies,NETHERLANDS,"#FFB415",0,1,2,8,0.207037,0.227389,0,0.000307,0.003084,36,0.000775,0,0,0.0071
Dutch vox pop,Dutch vox pop,,1,the general public,NETHERLANDS,"#FFB415",0,2,11,6,0.320528,0.362224,1358.071525,0.006694,0.067348,36,0.001291,0,0,0.071471
Fisherman,Fisherman,,1,the general public,NA,"#FFA910",0,1,1,8,0.207037,0.227389,0,0.000307,0.003084,36,0.000775,0,0,0.0071
Partidul Conservator,Partidul Conservator,,1,political parties,ROMANIA,"#F9F332",3,1,1,1,1,1,0,0,0,1,0.001582,0,0,0.000763
Bundestagspräsident,Bundestagspräsident,,1,legislative,GERMANY,"#717F75",0,2,3,6,0.319429,0.360883,456.903991,0.006934,0.06976,17,0.00125,0,0,0.073439
Prezydent Rzeczypospolitej,Prezydent Rzeczypospolitej,,1,government/executive,POLAND,"#FFE428",0,2,12,5,0.345916,0.388551,1195.941581,0.007432,0.074773,21,0.001287,0,0,0.087421
Center for European Policy Analysis,Center for European Policy Analysis,,1,other scientific and research professionals and institutions,UNITED STATES,"#EF7DB1",0,1,1,6,0.310901,0.349404,0,0.006388,0.064264,23,0.000754,0,0,0.06437
Markiel Krzysztof,Markiel Krzysztof,,1,politicians,POLAND,"#FFE428",0,1,1,6,0.260242,0.288223,0,0.001045,0.010509,21,0.00077,0,0,0.023051
Polish vox pop,Polish vox pop,,1,the general public,POLAND,"#FFE428",0,2,3,5,0.345916,0.388551,1195.941581,0.007432,0.074773,21,0.001287,0,0,0.087421
Fakt,Fakt,,1,media and journalists,POLAND,"#FFE428",0,1,2,6,0.260242,0.288223,0,0.001045,0.010509,21,0.00077,0,0,0.023051
Razem,Razem,,1,political parties,POLAND,"#FFE428",0,1,1,6,0.260242,0.288223,0,0.001045,0.010509,21,0.00077,0,0,0.023051
Polish Embassy in the UK,Polish Embassy in the UK,,1,government/executive,POLAND,"#FFE428",0,1,1,6,0.260242,0.288223,0,0.001045,0.010509,21,0.00077,0,0,0.023051
Dutch Government ministers,Dutch Government ministers,,1,government/executive,NETHERLANDS,"#FFB415",0,1,1,6,0.310901,0.349404,0,0.006388,0.064264,23,0.000754,0,0,0.06437
Government of the Netherlands,Government of the Netherlands,,1,government/executive,NETHERLANDS,"#FFB415",0,1,1,8,0.207037,0.227389,0,0.000307,0.003084,36,0.000775,0,0,0.0071
Hanseatic League,Hanseatic League,,1,government/executive,EUROPEAN UNION,"#5C9A5C",0,1,1,6,0.310901,0.349404,0,0.006388,0.064264,23,0.000754,0,0,0.06437
Ministerie van Financiën,Ministerie van Financiën,,1,government/executive,NETHERLANDS,"#FFB415",0,3,5,6,0.323495,0.366547,2211.549754,0.006833,0.06875,36,0.00182,0,0,0.074512
Bijkerk Rein,Bijkerk Rein,,1,media and journalists,NETHERLANDS,"#FFB415",0,1,1,8,0.207037,0.227389,0,0.000307,0.003084,36,0.000775,0,0,0.0071
Mayor of Freising,Mayor of Freising,,1,government/executive,GERMANY,"#717F75",0,1,2,6,0.310901,0.349404,0,0.006388,0.064264,23,0.000754,0,0,0.06437
DGB,DGB,,1,unions and employees,GERMANY,"#717F75",0,1,2,6,0.310901,0.349404,0,0.006388,0.064264,23,0.000754,0,0,0.06437
Alternative fur Deutschland,Alternative fur Deutschland,,1,political parties,GERMANY,"#717F75",0,2,2,6,0.319429,0.360883,456.903991,0.006934,0.06976,17,0.00125,0,0,0.073439
German Government,German Government,,1,government/executive,GERMANY,"#717F75",0,6,24,6,0.361578,0.409273,6212.834393,0.008425,0.084765,17,0.00345,0,0,0.104719
Austrian PM,Austrian PM,,1,government/executive,AUSTRIA,"#944863",4,1,2,2,0.6,0.666667,0,0,0,3,0.001098,0,0,0.001004
Casa di Betania,Casa di Betania,,1,churches and religious organisations and groups,ITALY,"#B85D6F",0,1,1,6,0.310901,0.349404,0,0.006388,0.064264,23,0.000754,0,0,0.06437
Popolari per l'Italia,Popolari per l'Italia,,1,political parties,ITALY,"#B85D6F",0,1,2,6,0.310901,0.349404,0,0.006388,0.064264,23,0.000754,0,0,0.06437
Mayor of Rosignano,Mayor of Rosignano,,1,government/executive,ITALY,"#B85D6F",0,1,1,6,0.245822,0.274866,0,0.000931,0.009362,25,0.00078,0,0,0.019656
Corte Suprema di Cassazione,Corte Suprema di Cassazione,,1,judiciary,ITALY,"#B85D6F",0,1,1,6,0.245822,0.274866,0,0.000931,0.009362,25,0.00078,0,0,0.019656
Mayor of Milan,Mayor of Milan,,1,government/executive,ITALY,"#B85D6F",0,1,1,6,0.245822,0.274866,0,0.000931,0.009362,25,0.00078,0,0,0.019656
Piu Europa,Piu Europa,,1,political parties,ITALY,"#B85D6F",0,1,1,6,0.310901,0.349404,0,0.006388,0.064264,23,0.000754,0,0,0.06437
Confcommercio,Confcommercio,,1,employers organisations and firms,ITALY,"#B85D6F",0,1,2,6,0.245822,0.274866,0,0.000931,0.009362,25,0.00078,0,0,0.019656
European People's Party,European People's Party,,1,legislative,EUROPEAN UNION,"#5C9A5C",0,2,8,5,0.345916,0.388551,1195.941581,0.007432,0.074773,23,0.001287,0,0,0.087421
Presidente della repubblica,Presidente della repubblica,,1,government/executive,ITALY,"#B85D6F",0,2,6,6,0.33756,0.381694,1111.820177,0.007318,0.073625,23,0.001297,0,0,0.084027
Italian vox pop,Italian vox pop,,1,the general public,ITALY,"#B85D6F",0,2,5,6,0.33756,0.381694,1111.820177,0.007318,0.073625,25,0.001297,0,0,0.084027
European Court of Justice,European Court of Justice,,1,judiciary,EUROPEAN UNION,"#5C9A5C",0,2,2,5,0.345916,0.388551,1195.941581,0.007432,0.074773,21,0.001287,0,0,0.087421
The City is Ours,The City is Ours,,1,other civil society organisations and groups,POLAND,"#FFE428",0,1,1,6,0.260242,0.288223,0,0.001045,0.010509,21,0.00077,0,0,0.023051
Avaaz,Avaaz,,1,other civil society organisations and groups,NA,"#FFA910",0,1,1,6,0.310901,0.349404,0,0.006388,0.064264,23,0.000754,0,0,0.06437
US President,US President,,1,government/executive,UNITED STATES,"#EF7DB1",0,2,11,6,0.262195,0.292546,4408,0.001049,0.010558,2,0.001422,0,0,0.024753
Ministero Finanza Italia,Ministero Finanza Italia,,1,government/executive,ITALY,"#B85D6F",0,1,3,6,0.245822,0.274866,0,0.000931,0.009362,25,0.00078,0,0,0.019656
Ministry of Finance of Austria,Ministry of Finance of Austria,,1,government/executive,AUSTRIA,"#944863",4,1,2,2,0.6,0.666667,0,0,0,3,0.001098,0,0,0.001004
Yuste Foundation,Yuste Foundation,,1,other scientific and research professionals and institutions,EUROPEAN UNION,"#5C9A5C",0,1,1,6,0.310901,0.349404,0,0.006388,0.064264,23,0.000754,0,0,0.06437
Forum Nazionale del Terzo Settore,Forum Nazionale del Terzo Settore,,1,solidarity and human rights organisations,ITALY,"#B85D6F",0,1,1,6,0.310901,0.349404,0,0.006388,0.064264,23,0.000754,0,0,0.06437
Fratelli d'Italia,Fratelli d'Italia,,1,political parties,ITALY,"#B85D6F",0,1,6,6,0.245822,0.274866,0,0.000931,0.009362,25,0.00078,0,0,0.019656
Corriere della Sera,Corriere della Sera,,1,media and journalists,ITALY,"#B85D6F",0,2,14,6,0.33756,0.381694,1111.820177,0.007318,0.073625,25,0.001297,0,0,0.084027
Ministero delle Finanze,Ministero delle Finanze,,1,government/executive,ITALY,"#B85D6F",0,1,3,6,0.245822,0.274866,0,0.000931,0.009362,25,0.00078,0,0,0.019656
Confcooperative,Confcooperative,,1,employers organisations and firms,ITALY,"#B85D6F",0,1,1,6,0.245822,0.274866,0,0.000931,0.009362,25,0.00078,0,0,0.019656
Democraten 66,Democraten 66,,1,political parties,NETHERLANDS,"#FFB415",0,1,2,6,0.310901,0.349404,0,0.006388,0.064264,23,0.000754,0,0,0.06437
CIIS,CIIS,,1,other state executive agencies,CHINA,"#3F908E",0,1,1,8,0.1995,0.210365,0,0.000062,0.000629,29,0.000799,0,0,0.001527
Augsburg University,Augsburg University,,1,educational professionals and organisations,GERMANY,"#717F75",0,1,2,6,0.310901,0.349404,0,0.006388,0.064264,23,0.000754,0,0,0.06437
Christlich Soziale Union,Christlich Soziale Union,,1,political parties,GERMANY,"#717F75",0,2,5,6,0.319429,0.360883,456.903991,0.006934,0.06976,17,0.00125,0,0,0.073439
European Conservatives and Reformist Group,European Conservatives and Reformist Group,,1,political parties,EUROPEAN UNION,"#5C9A5C",5,1,1,2,0.571429,0.625,0,0,0,6,0.001037,0,0,0.001127
Volkshochschule Eching,Volkshochschule Eching,,1,educational professionals and organisations,GERMANY,"#717F75",0,1,1,6,0.310901,0.349404,0,0.006388,0.064264,23,0.000754,0,0,0.06437
Academic,Academic,,1,educational professionals and organisations,NA,"#FFA910",0,1,1,6,0.310901,0.349404,0,0.006388,0.064264,23,0.000754,0,0,0.06437
Mayor of Eching,Mayor of Eching,,1,government/executive,GERMANY,"#717F75",0,1,1,6,0.310901,0.349404,0,0.006388,0.064264,23,0.000754,0,0,0.06437
Luxembourg Government,Luxembourg Government,,1,government/executive,LUXEMBOURG,"#F17815",6,1,1,2,0.571429,0.625,0,0,0,4,0.001037,0,0,0.001127
LSAP,LSAP,,1,political parties,LUXEMBOURG,"#F17815",6,1,1,2,0.571429,0.625,0,0,0,4,0.001037,0,0,0.001127
Luxembourg for Finance,Luxembourg for Finance,,1,employers organisations and firms,LUXEMBOURG,"#F17815",6,1,1,2,0.571429,0.625,0,0,0,4,0.001037,0,0,0.001127
Sozialdemokratische Partei Deutschlands,Sozialdemokratische Partei Deutschlands,,1,political parties,GERMANY,"#717F75",0,2,7,6,0.319429,0.360883,456.903991,0.006934,0.06976,23,0.00125,0,0,0.073439
Ministère des Affaires étrangères LU,Ministère des Affaires étrangères LU,,1,government/executive,LUXEMBOURG,"#F17815",6,1,1,2,0.571429,0.625,0,0,0,4,0.001037,0,0,0.001127
Musician,Musician,,1,media and journalists,NA,"#FFA910",0,1,1,6,0.310901,0.349404,0,0.006388,0.064264,23,0.000754,0,0,0.06437
Zentralrats der Muslime,Zentralrats der Muslime,,1,churches and religious organisations and groups,GERMANY,"#717F75",0,1,1,6,0.237267,0.253846,0,0.000546,0.005496,17,0.000734,0,0,0.009069
BDA,BDA,,1,unions and employees,GERMANY,"#717F75",0,1,1,6,0.310901,0.349404,0,0.006388,0.064264,23,0.000754,0,0,0.06437
Merten Hans-Lothar,Merten Hans-Lothar,,1,economists and financial experts,GERMANY,"#717F75",0,1,1,6,0.310901,0.349404,0,0.006388,0.064264,23,0.000754,0,0,0.06437
BDI - Bundesverband der deutschen Industrie,BDI - Bundesverband der deutschen Industrie,,1,economists and financial experts,GERMANY,"#717F75",0,1,1,6,0.310901,0.349404,0,0.006388,0.064264,23,0.000754,0,0,0.06437
Banca d'Italia,Banca d'Italia,,1,central banks,ITALY,"#B85D6F",0,1,2,6,0.245822,0.274866,0,0.000931,0.009362,25,0.00078,0,0,0.019656
ABI,ABI,,1,central banks,ITALY,"#B85D6F",0,1,1,6,0.245822,0.274866,0,0.000931,0.009362,25,0.00078,0,0,0.019656
Ministerie van Buitenlandse Zaken,Ministerie van Buitenlandse Zaken,,1,government/executive,NETHERLANDS,"#FFB415",0,2,3,6,0.320528,0.362224,1358.071525,0.006694,0.067348,36,0.001291,0,0,0.071471
Solidarność,Solidarność,,1,political parties,POLAND,"#FFE428",0,2,2,5,0.345916,0.388551,1195.941581,0.007432,0.074773,21,0.001287,0,0,0.087421
Mayor of Gdańsk,Mayor of Gdańsk,,1,government/executive,POLAND,"#FFE428",0,1,1,6,0.260242,0.288223,0,0.001045,0.010509,21,0.00077,0,0,0.023051
De Telegraaf,De Telegraaf,,1,media and journalists,NETHERLANDS,"#FFB415",0,3,10,6,0.321264,0.363864,2472.071525,0.006724,0.06765,36,0.001952,0,0,0.07255
Dvorani Ardian,Dvorani Ardian,,1,judiciary,ALBANIA,"#D4232A",7,1,1,2,0.666667,0.75,0,0,0,5,0.001219,0,0,0.000883
Instituti i Studimeve Politike ,Instituti i Studimeve Politike ,,1,other scientific and research professionals and institutions,ALBANIA,"#D4232A",7,1,1,2,0.666667,0.75,0,0,0,5,0.001219,0,0,0.000883
Wageningen University,Wageningen University,,1,educational professionals and organisations,NETHERLANDS,"#FFB415",0,2,2,6,0.320528,0.362224,518.532017,0.006873,0.069145,32,0.001244,0,0,0.073471
EU Commissioner for Competition,EU Commissioner for Competition,,1,government/executive,EUROPEAN UNION,"#5C9A5C",0,1,5,6,0.310901,0.349404,0,0.006388,0.064264,23,0.000754,0,0,0.06437
Airbus,Airbus,,1,employers organisations and firms,FRANCE,"#6A886D",0,1,1,6,0.310901,0.349404,0,0.006388,0.064264,23,0.000754,0,0,0.06437
Czech vox pop,Czech vox pop,,1,the general public,CZECH REPUBLIC,"#47A265",5,1,1,2,0.571429,0.625,0,0,0,6,0.001037,0,0,0.001127
Czech PM,Czech PM,,1,government/executive,CZECH REPUBLIC,"#47A265",5,1,3,2,0.571429,0.625,0,0,0,6,0.001037,0,0,0.001127
Bohmermann Jan,Bohmermann Jan,,1,media and journalists,GERMANY,"#717F75",0,1,1,6,0.310901,0.349404,0,0.006388,0.064264,23,0.000754,0,0,0.06437
Ferrera Maurizio,Ferrera Maurizio,,1,educational professionals and organisations,ITALY,"#B85D6F",0,1,2,6,0.310901,0.349404,0,0.006388,0.064264,23,0.000754,0,0,0.06437
Politecnico Milano University,Politecnico Milano University,,1,educational professionals and organisations,ITALY,"#B85D6F",0,1,3,6,0.245822,0.274866,0,0.000931,0.009362,25,0.00078,0,0,0.019656
Tor Vergata University,Tor Vergata University,,1,educational professionals and organisations,ITALY,"#B85D6F",0,1,1,6,0.245822,0.274866,0,0.000931,0.009362,25,0.00078,0,0,0.019656
Busco Paolo,Busco Paolo,,1,other scientific and research professionals and institutions,ITALY,"#B85D6F",0,1,1,6,0.245822,0.274866,0,0.000931,0.009362,25,0.00078,0,0,0.019656
EU Council,EU Council,,1,government/executive,EUROPEAN UNION,"#5C9A5C",0,2,8,6,0.32016,0.361777,3394.086484,0.006492,0.065314,23,0.001347,0,0,0.069406
Sri Lanka Government,Sri Lanka Government,,1,government/executive,SRI LANKA,"#A75828",8,1,1,1,1,1,0,0,0,7,0.001582,0,0,0.000763
SeaWatch,SeaWatch,,1,solidarity and human rights organisations,GERMANY,"#717F75",0,1,4,6,0.240534,0.256231,0,0.000485,0.004881,32,0.000727,0,0,0.009101
Bundesministerium des Innern,Bundesministerium des Innern,,1,government/executive,GERMANY,"#717F75",0,4,5,6,0.329988,0.374896,1729.973639,0.007482,0.075275,32,0.002277,0,0,0.083966
Bundesverteidigungsministerium,Bundesverteidigungsministerium,,1,government/executive,GERMANY,"#717F75",0,1,6,6,0.310901,0.349404,0,0.006388,0.064264,23,0.000754,0,0,0.06437
Ukrainian President,Ukrainian President,,1,government/executive,UKRAINE,"#E07595",0,1,1,8,0.194097,0.205863,0,0.00003,0.000298,26,0.000883,0,0,0.001922
Prezes Rady Ministrów,Prezes Rady Ministrów,,1,government/executive,POLAND,"#FFE428",0,1,1,6,0.260242,0.288223,0,0.001045,0.010509,21,0.00077,0,0,0.023051
Council of Europe,Council of Europe,,1,government/executive,EUROPEAN UNION,"#5C9A5C",0,2,4,6,0.280341,0.310525,437.265143,0.00153,0.015391,21,0.00126,0,0,0.032152
Ministero dell'agricoltura,Ministero dell'agricoltura,,1,government/executive,ITALY,"#B85D6F",0,1,1,6,0.245822,0.274866,0,0.000931,0.009362,25,0.00078,0,0,0.019656
Progressive Alliance of Socialists and Democrats,Progressive Alliance of Socialists and Democrats,,1,political parties,EUROPEAN UNION,"#5C9A5C",0,1,1,6,0.310901,0.349404,0,0.006388,0.064264,23,0.000754,0,0,0.06437
Mayor of Noordwijk,Mayor of Noordwijk,,1,government/executive,NETHERLANDS,"#FFB415",0,1,1,6,0.310901,0.349404,0,0.006388,0.064264,23,0.000754,0,0,0.06437
