Node id ,Degree,Weighted Degree,closenesscentrality,betweenesscentrality,modularity class,eigencentrality
Góralczyk Bogdan,1,1,0.309593,0,6,0.09713
Ministerstwo Skarbu Państwa,1,2,0.299157,0,7,0.061645
Ministerstwo Nauk,1,1,0.309593,0,6,0.09713
Warsaw School of Economics,1,1,0.299157,0,7,0.061645
Koalicja Sojuszu Lewicy Demokratycznej i Unii Pracy,2,2,0.394444,448.574112,7,0.158776
Huasner Jerzy,1,1,0.299157,0,7,0.061645
Solidarność,1,1,0.309593,0,6,0.09713
Kwaśniewski Aleksander,1,1,0.309593,0,6,0.09713
Rada Ministrów Rzeczypospolitej,1,1,0.309593,0,6,0.09713
OKO.press,1,1,0.309593,0,6,0.09713
RMF FM,1,2,0.309593,0,6,0.09713
Partija Vienotiba,1,1,0.299157,0,7,0.061645
Polskie Stronnictwo Ludowe,1,1,0.309593,0,6,0.09713
Rzeczpospolita,1,1,0.571429,0,9,0.002355
Straż Graniczna,1,1,0.571429,0,9,0.002355
Nowak Piotr,1,1,0.239865,0,24,0.00416
Tegnell Anders,1,1,0.239865,0,24,0.00416
Calmfors Lars,1,1,0.239865,0,24,0.00416
Stockholms läns sjukvårdsområde,1,1,0.239865,0,24,0.00416
Home Office,1,1,0.244828,0,8,0.008367
Ministère de l'Europe,1,1,0.18984,0,0,0.002815
Ministère des Affaires étrangères FR,1,1,0.299157,0,7,0.061645
Ministerstwo Infrastruktury,1,1,0.309593,0,6,0.09713
European Medicines Agency,1,2,0.299157,0,7,0.061645
Rządowej Agencji Rezerw Strategicznych,1,2,0.309593,0,6,0.09713
Federa,1,1,0.309593,0,6,0.09713
poland constituency,95,191,0.447479,14745.12668,6,1
france constituency,4,6,0.234066,633,0,0.01168
european union constituency,68,95,0.426,13063.66089,7,0.591552
united kingdom constituency,14,19,0.323708,2491.195833,8,0.051942
united states constituency,4,7,0.240406,633,1,0.01454
ukraine constituency,4,4,1,6,9,0.005783
regional / global constituency,6,6,0.290984,847.401096,10,0.032896
italy constituency,11,12,1,55,11,0.019766
turkey constituency,3,5,1,3,2,0.004194
armenia constituency,1,1,1,0,3,0.001304
scotland constituency,1,1,1,0,4,0.001304
brazil constituency,1,2,1,0,5,0.001304
germany constituency,8,8,0.238255,1463,12,0.01916
croatia constituency,1,1,1,0,13,0.001304
malta constituency,1,1,1,0,14,0.001304
lithuania constituency,3,4,1,3,15,0.004194
hungary constituency,7,8,0.237194,1257,16,0.017135
czech republic constituency,2,2,1,1,17,0.002702
belarus constituency,17,23,0.326687,2401.615497,18,0.101176
ireland constituency,1,2,0.284,0,7,0.015747
finland constituency,1,1,1,0,19,0.001304
cyprus constituency,1,1,1,0,20,0.001304
spain constituency,4,4,0.314159,633,21,0.023726
russia constituency,1,1,1,0,22,0.001304
slovakia constituency,1,1,1,0,23,0.001304
sweden constituency,5,5,0.315089,842,24,0.02546
