"Volkspartij voor Vrijheid en Democratie","Netherlands constituency"
"Volkspartij voor Vrijheid en Democratie","Netherlands constituency"
"Ministero della Salute","Italy constituency"
"Presidente del Consiglio","Italians constituency"
"Presidente del Consiglio","Italy constituency"
"British PM","United Kingdom constituency"
"Christlich Soziale Union","German SMEs constituency"
"Ministero Esteri IT","Italy constituency"
"German Government","German population constituency"
"Italian Government","Italians constituency"
"Turkish Government","Turkish Government constituency"
"JA21","Dutch nation constituency"
"Partij voor de Vrijheid","Netherlands constituency"
"Dutch PM","Netherlands constituency"
"German Government","German people constituency"
"Chancellor of the Exchequer","NHS constituency"
"Platforma Obywatelska","Poland constituency"
"German Government","Germany constituency"
"Forza Italia","Italy constituency"
"Ministero delle Finanze","Italian people constituency"
"Presidente del Consiglio","Italy constituency"
"Presidente del Consiglio","Italy constituency"
"Presidente della Regione Toscana","Tuscan workers / economy constituency"
"Christen-Democratisch Appel","Brabant farmers constituency"
"Lega Nord","Italy constituency"
"Lega Nord","Italy constituency"
"Dutch PM","Netherlands constituency"
"German Government","Germany constituency"
"Prawo i Sprawiedliwosc","Poland constituency"
"Lega Nord","Italy constituency"
"Presidente del Consiglio","Italy constituency"
"Fratelli d'Italia","Italy constituency"
"Presidente del Consiglio","Italy constituency"
"Presidente del Consiglio","Italy constituency"
"Mayor of Cantagallo","Val di Bisenzio constituency"
"De Telegraaf","Netherlands constituency"
"Ministero delle Finanze","Italy constituency"
"Folkhälsomyndigheten","Sweden constituency"
"Ukrainian PM","Ukraine constituency"
"Forum voor Democratie","Netherlands constituency"
"Auswärtiger Ausschuss - Deutscher Bundestag","Germany constituency"
"German Government","Germany constituency"
"Ministerstwo Sprawiedliwosci","Poland constituency"
"Sveikatos apsaugos ministerija","Lithuanian people constituency"
"Sveikatos apsaugos ministerija","Lithuanians constituency"
"Lega Nord","Italians constituency"
"Partito Democratico","Italy constituency"
"British PM","British people constituency"
"Polish PM","Poland constituency"
"Ministerstwo Rozwoju Regionalnego","Polish entrepreneurs constituency"
"Polish PM","Polish community constituency"
"Magyarország igazságügy","Hungarian people constituency"
"Ministerstwo Funduszy","Poland constituency"
"French Government","French companies constituency"
"Bundestagspräsident","German interests constituency"
"NRC Handelsblad","Dutch economy constituency"
"Christen-Democratisch Appel","Netherlands constituency"
"pénzügyminiszter","Hungary constituency"
"Bundesminister des Auswärtigen","Berlin (German Government) constituency"
"Die Linke","German military constituency"
"Sozialdemokratische Partei Deutschlands","Germany constituency"
"Polish PM","Poland constituency"
"Polish PM","Poland constituency"
"Czech PM","Czech citizens constituency"
"Partito Democratico","Italy constituency"
"Prezydent Rzeczypospolitej","Poles constituency"
"Platforma Obywatelska","Poland constituency"
"Hungarian Government","Hungarians constituency"
"Prezydent Rzeczypospolitej","Poland constituency"
"Prezydent Rzeczypospolitej","Poland constituency"
"Platforma Obywatelska","Poland constituency"
"Movimento 5 Stelle","Umbria constituency"
"Presidente della Regione Siciliana","Italians constituency"
"Viminale- Ministero Interno","Migrants and 'the country' constituency"
"Ministero della Salute","Migrants and Italians constituency"
"Platforma Obywatelska","Poland constituency"
"Prawo i Sprawiedliwosc","Poland constituency"
"Raad voor de leefomgeving","citizens (general) constituency"
"Platforma Obywatelska","Poland constituency"
"Prezydent Rzeczypospolitej","Poland constituency"
"Ministerstwo Sprawiedliwosci","Poland constituency"
"Ministerstwo Klimatu","Poland constituency"
"French PM","French citizens constituency"
"Partito Democratico","Italy constituency"
"Mayor of Firenze","Florence constituency"
"Lega Nord","Italians constituency"
"Partij voor de Vrijheid","Netherlands constituency"
"Presidente del Consiglio","Italy constituency"
"ChristenUnie - Staatskundig Gereformeerde Partij","Netherlands constituency"
"Volkspartij voor Vrijheid en Democratie","Netherlands constituency"
"Forum voor Democratie","Netherlands constituency"
"Hungarian Government","Hungarian politics constituency"
"Lódz Voivodeship","Lódz constituency"
"Presidente della Regione Siciliana","Sicily constituency"
"Viminale- Ministero Interno","Lampedusa / Sicily constituency"
"Fratelli d'Italia","Sicily constituency"
"Viminale- Ministero Interno","Sicily / sicilian centres constituency"
"Presidente della Regione Siciliana","Sicilian coast / island constituency"
"Fratelli d'Italia","Sicily constituency"
"Fratelli d'Italia","Italy constituency"
"Tikhanovskaya Sviatlana","Belarus constituency"
"President of Belarus","Belarus constituency"
"President of Belarus","Belarus constituency"
"Gauke David","British businesses constituency"
"Cabinet Office UK","United Kingdom constituency"
"President of Belarus","Belarus constituency"
"British PM","Britain constituency"
"Ministero dello Sviluppo Economico","Italian-made products constituency"
"British PM","United Kingdom constituency"
"Sozialdemokratische Partei Deutschlands","Germany constituency"
"British PM","Britain constituency"
"Eurooppaministeri","Finland constituency"
"Gazeta Wyborcza","Poland constituency"
"Lietuvos Respublikos Prezidentas","Lithuania constituency"
"UK Conservative Party","United Kingdom constituency"
"Partito Democratico","workers and businesses constituency"
"Presidente del Consiglio","Italy constituency"
"Ministero della Salute","Doctors constituency"
"Mayor of Arezzo","people of Arezzo constituency"
"Partito Democratico","Arezzo constituency"
"Socialistische Partij","Dutch households constituency"
"Greek PM","Greek coastguard constituency"
"Turkish Government","Turkey constituency"
"UK Labour Party","British people constituency"
"Prawo i Sprawiedliwosc","Poland constituency"
"Prawo i Sprawiedliwosc","Polish miners constituency"
"Platforma Obywatelska","Polish businesses constituency"
"Platforma Obywatelska","Polish elderly constituency"
"Platforma Obywatelska","Poland constituency"
"Platforma Obywatelska","Polish justice system constituency"
"Platforma Obywatelska","Poles constituency"
"Platforma Obywatelska","Poland constituency"
"Foreign Ministry of Belarus","Belarus constituency"
"Ministerstwo Spraw Zagranicznych","Poland constituency"
"British PM","British people constituency"
"President of Belarus","Belarus constituency"
"Lega Nord","Italian voters constituency"
"Lega Nord","Tuscans constituency"
"Lega Nord","Tuscan citizens constituency"
"Presidente del Consiglio","Italy constituency"
"Presidente del Gobierno","Spain constituency"
"Presidente del Gobierno","Spain constituency"
"Government of Turkish-Cyprus","Northern Cyprus constituency"
"vox","Spanish citizens constituency"
"Partido Popular","Spain constituency"
"Spanish Government","Spanish people constituency"
"Koalicja Obywatelska","Polish women constituency"
"Platforma Obywatelska","Polish women constituency"
"Slovak PM","Slovakia constituency"
"Kancelaria Prezesa Rady Ministrów","Poland constituency"
"Ministerio de Sanidad","Spain constituency"
"Partito Democratico","Italy constituency"
"Bundnis 90 - Die Grunen","German citizens constituency"
"Ministry of National Defense of Turkey","Turkey constituency"
"Ministère des Santé","France constituency"
"Prezydent Rzeczypospolitej","Poland constituency"
"Koalicja Obywatelska","Poland constituency"
"Comune di Carolei","Economy of Carolei constituency"
"Presidente della Lombardia","Lombardian people constituency"
"Ministero della Salute","regions IT (general) constituency"
"Comune di Montefranco","Montefranco citizens constituency"
"Xueqin Jiang","Chinese people constituency"
"minister sprawiedliwosci","Poland constituency"
"minister sprawiedliwosci","Poland constituency"
"Hungarian Government","Hungary constituency"
"Demokratikus Koalicio","Hungary constituency"
"Ministerstwo Sprawiedliwosci","Poland constituency"
"Platforma Obywatelska","Poland constituency"
"Polish PM","Poland constituency"
"Ministerstwo Nauk","Polish farmers constituency"
"minister sprawiedliwosci","Poland constituency"
"Rada Ministrów Rzeczypospolitej","Poland constituency"
"Wiosna","Poland constituency"
"Polish PM","Poland constituency"
"Polish PM","Poland constituency"
"Prezydent Rzeczypospolitej","Poles constituency"
"Prezydent Rzeczypospolitej","Poles constituency"
"Koalicja Sojuszu Lewicy Demokratycznej i Unii Pracy","Poland constituency"
"Polskie Stronnictwo Ludowe","Poland constituency"
"minister sprawiedliwosci","Poland constituency"
"Partito Democratico","Partito Democratico constituency"
"Movimento 5 Stelle","Italy constituency"
"IDeA","Italy constituency"
"Forza Italia","Italy constituency"
"Ministère de l'Europe","France constituency"
"UK Government","United Kingdom constituency"
"Home Office","United Kingdom constituency"
"Polish PM","Warsaw inhabitants constituency"
"Ministère de l'Europe","NA constituency"
"Ministerstwo Infrastruktury","Polish hauliers constituency"
"Ministero della Salute","Italy constituency"
"Italia Viva","tourism industry (general) constituency"
"Partito Democratico","Italy constituency"
"Fratelli d'Italia","Italian beachgoers constituency"
"Ministero Esteri IT","Italians constituency"
"UK Chief Medical Officer","Britons constituency"
"German Government","Germany constituency"
"Kancelaria Prezesa Rady Ministrów","Poland constituency"
"Italia Viva","Italians constituency"
"Partij voor de Vrijheid","Netherlands constituency"
